Year,Location,Type,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,Run in,Time,Stride Pattern,Athlete,Start_Phase,Mid_Phase,End_Phase
2021,Tokyo,final,5.6,3.48,3.54,3.66,3.68,3.9,4.06,4.12,4.28,4.44,5.18,45.94,13 to 9 15 to 10,Warholm,4.07,3.8800000000000003,4.505
2021,Tokyo,final,5.64,3.56,3.64,3.68,3.76,3.88,4.0,4.08,4.2,4.36,5.37,46.17,13 to 10,Benjamin,4.13,3.8800000000000003,4.5025
2022,Eugene,final,5.71,3.55,3.55,3.57,3.74,3.89,4.1,4.22,4.36,4.38,5.22,46.29,13 to 2 12 to 6 13 to 10,dos Santos,4.095,3.91,4.545
2023,Eugene,final,5.74,3.66,3.7,3.76,3.82,3.93,3.99,4.1,4.27,4.39,5.03,46.39,13 to 10,Benjamin,4.215,3.9133333333333336,4.4475
2024,Paris,final,5.62,3.59,3.61,3.68,3.82,3.83,3.87,4.0,4.37,4.57,5.5,46.46,13 to 9 14 to 10,Benjamin,4.125,3.84,4.61
2024,Eugene,final,5.62,3.59,3.75,3.98,3.87,3.78,3.84,4.06,4.32,4.47,5.18,46.46,13 to 10,Benjamin,4.235,3.83,4.507499999999999
2023,Monaco,final,5.55,3.5,3.57,3.64,3.76,3.93,4.08,4.21,4.41,4.56,5.3,46.51,13 to 9 15 to 10,Warholm,4.065,3.9233333333333333,4.62
2023,Oslo,final,5.59,3.57,3.6,3.65,3.76,3.88,4.02,4.2,4.36,4.57,5.32,46.52,13 to 9 15 to 10,Warholm,4.1025,3.8866666666666667,4.612500000000001
2023,Eugene,final,5.59,3.58,3.63,3.66,3.76,3.88,4.02,4.25,4.25,4.56,5.35,46.53,13 to 9 15 to 10,Warholm,4.115,3.8866666666666667,4.602499999999999
2023,Eugene,final,5.81,3.63,3.7,3.78,3.83,3.95,3.99,4.07,4.24,4.47,5.15,46.62,13 to 10,Benjamin,4.23,3.9233333333333333,4.4825
2024,Oslo,final,5.77,3.6,3.61,3.6,3.8,4.01,4.03,4.21,4.27,4.47,5.26,46.63,13 to 2 12 to 6 13 to 10,dos Santos,4.145,3.9466666666666668,4.5525
2024,Los Angeles,final,5.84,3.67,3.67,3.77,3.8,3.88,3.93,4.04,4.27,4.54,5.23,46.64,13 to 10,Benjamin,4.2375,3.8699999999999997,4.52
2024,Monaco,final,5.68,3.57,3.63,3.67,3.78,4.07,4.15,4.16,4.29,4.45,5.22,46.67,13 to 10,Benjamin,4.137499999999999,4.0,4.529999999999999
2021,Oslo,final,5.58,3.52,3.6,3.64,3.82,3.92,4.1,4.2,4.4,4.66,5.26,46.7,13 to 10,Warholm,4.085,3.9466666666666668,4.630000000000001
2024,Oslo,final,5.7,3.51,3.6,3.64,3.77,3.97,4.0,4.21,4.43,4.54,5.33,46.7,13 to 8 14 to 10,Warholm,4.1125,3.9133333333333336,4.6274999999999995
2021,Tokyo,final,5.76,3.6,3.72,3.68,3.84,4.04,4.16,4.2,4.26,4.32,5.14,46.72,13 to 3 12 to 5 13 to 8 14 to 9 13 to 10,dos Santos,4.19,4.013333333333333,4.48
2024,Monaco,final,5.66,3.54,3.59,3.69,3.83,3.94,4.05,4.2,4.38,4.53,5.32,46.73,13 to 9 15 to 10,Warholm,4.12,3.94,4.6075
2022,Stockholm,final,5.66,3.58,3.56,3.62,3.76,3.9,4.14,4.26,4.36,4.56,5.4,46.8,13 to 2 12 to 6 13 to 10,dos Santos,4.105,3.9333333333333336,4.645
2021,Eugene,final,5.77,3.7,3.83,3.87,3.92,3.97,4.0,4.14,4.3,4.34,4.99,46.83,13 to 10,Benjamin,4.2924999999999995,3.9633333333333334,4.4425
2024,Doha,final,5.67,3.57,3.65,3.72,3.92,4.05,4.08,4.22,4.3,4.43,5.25,46.86,13 to 2 12 to 4 13 to 10,dos Santos,4.1525,4.016666666666667,4.55
2020,Stockholm,final,5.58,3.56,3.66,3.8,3.84,3.98,4.06,4.16,4.3,4.54,5.39,46.87,13 to 9 15 to 10,Warholm,4.15,3.9599999999999995,4.5975
2022,Eugene,final,5.76,3.57,3.7,3.72,3.7,3.87,4.06,4.22,4.34,4.53,5.42,46.89,13 to 4 12 to 6 13 to 10,Benjamin,4.1875,3.8766666666666665,4.6274999999999995
2023,Budapest,final,5.81,3.65,3.44,3.62,3.77,3.96,4.04,4.21,4.43,4.68,5.28,46.89,13 to 9 15 to 10,Warholm,4.13,3.9233333333333333,4.65
2019,Zurich,final,5.66,3.5,3.6,3.64,3.82,3.96,4.14,4.24,4.52,4.54,5.3,46.92,13 to 8 15 to 10,Warholm,4.1,3.9733333333333327,4.65
2024,Silesia,final,5.64,3.62,3.67,3.73,3.83,3.95,4.1,4.17,4.29,4.58,5.37,46.95,13 to 9 15 to 10,Warholm,4.165,3.9599999999999995,4.6025
2024,Roma,final,5.62,3.5,3.69,3.7,3.84,3.89,3.97,4.15,4.57,4.63,5.42,46.98,13 to 8 14 to 10,Warholm,4.1275,3.9000000000000004,4.692500000000001
2019,Zurich,final,5.74,3.6,3.64,3.76,3.88,3.92,4.07,4.19,4.38,4.66,5.14,46.98,13 to 9 14 to 10,Benjamin,4.1850000000000005,3.956666666666667,4.5925
